,Date,Description,Location
80,1/27/2022 15:40,General investigation,9400 BLOCK JEFF FUQUA BLVD
81,1/27/2022 15:36,Suspicious person,700 BLOCK QUILL AVE
82,1/27/2022 15:27,Theft by shoplifting,2800 BLOCK S ORANGE AVE
83,1/27/2022 15:09,Theft by shoplifting,5400 BLOCK S SEMORAN BLVD
84,1/27/2022 14:57,Theft,5900 BLOCK S GOLDENROD RD
85,1/27/2022 14:50,Domestic disturbance,Restricted Address
86,1/27/2022 14:46,Fraud-counterfeit,4100 BLOCK W COLONIAL DR
87,1/27/2022 14:46,Accident (minor),S KIRKMAN RD / CONROY RD
88,1/27/2022 14:43,Sick or injured person,Restricted Address
89,1/27/2022 14:35,General investigation,100 BLOCK GEORGE DESALVIA WAY
90,1/27/2022 14:31,House/business check,W ARLINGTON ST / N JOHN YOUNG PKWY
91,1/27/2022 14:26,Theft by shoplifting,8000 BLOCK LEEVISTA BLVD
92,1/27/2022 14:12,Other sex crimes,Restricted Address
93,1/27/2022 14:00,Accident (injuries),E ROBINSON ST / N FERN CREEK AVE
94,1/27/2022 12:56,Threats/assault,600 BLOCK DOBY AVE
95,1/27/2022 12:20,Fraud-counterfeit,400 BLOCK N ORANGE BLOSSOM TRL
96,1/27/2022 11:42,Community Orientated Policing detail,400 BLOCK PITTMAN ST
97,1/28/2022 6:04,General disturbance,12900 BLOCK SUNSTONE AVE
98,1/28/2022 5:50,Accident (injuries),4300 BLOCK MILLENIA BLVD
99,1/28/2022 4:33,Sick or injured person,Restricted Address
100,1/28/2022 4:03,Battery - fight in progress,700 BLOCK ARLINGTON ST
101,1/28/2022 2:56,Person robbery,5800 BLOCK RALEIGH ST
102,1/28/2022 2:27,Accident (injuries),400 BLOCK S JOHN YOUNG PKWY
103,1/27/2022 23:20,Battery,1200 BLOCK S JOHN YOUNG PKWY
104,1/28/2022 20:08,Battery,1500 BLOCK MERCY DR
105,1/28/2022 20:07,Suspicious incident,1800 BLOCK E CENTRAL BLVD
106,1/28/2022 20:02,General disturbance,5400 BLOCK MILLENIA LAKES BLVD
107,1/28/2022 20:02,Trespasser,3700 BLOCK DIXIE BELLE DR
108,1/28/2022 20:01,Recovered missing person,3900 BLOCK W D JUDGE DR
109,1/28/2022 20:01,Disabled occupied vehicle,NEMOURS PKWY / LAKE NONA BLVD
110,1/28/2022 20:00,Obscene/harassing phone calls,1200 BLOCK W SOUTH ST
111,1/28/2022 20:00,Illegally parked cars,3700 BLOCK BUNCHE ST
112,1/28/2022 19:57,Domestic disturbance,Restricted Address
113,1/28/2022 19:54,Trespasser,2700 BLOCK S ORANGE AVE
114,1/28/2022 19:53,Stolen vehicle,S ORANGE AVE / E JACKSON ST
115,1/28/2022 19:52,Battery,800 BLOCK MCCULLOUGH AVE
116,1/28/2022 19:51,Disabled occupied vehicle,4500 BLOCK LAWNE CT
117,1/28/2022 19:49,Trespasser,400 BLOCK N GARLAND AVE
118,1/28/2022 19:49,Threats/assault,6000 BLOCK UNIVERSAL BLVD
119,1/28/2022 19:46,Theft,1200 BLOCK E COLONIAL DR
120,1/28/2022 19:40,Accident (minor),1 BLOCK
121,1/28/2022 19:39,House/business check,S OXALIS AVE / APPIAN WAY
122,1/28/2022 19:33,Theft by shoplifting,3200 BLOCK E COLONIAL DR
123,1/28/2022 19:30,Designated Patrol Area - available,9500 BLOCK JEFF FUQUA BLVD
124,1/28/2022 19:24,Vandalism/criminal mischief,5100 BLOCK CINDERLANE PKWY
125,1/28/2022 19:23,Designated Patrol Area - available,10200 BLOCK JEFF FUQUA BLVD
126,1/28/2022 19:12,House/business check,E MICHIGAN ST / CONWAY RD
127,1/28/2022 19:10,Theft by shoplifting,900 BLOCK S KIRKMAN RD
128,1/28/2022 19:10,Theft,2600 BLOCK BRUTON BLVD
129,1/28/2022 19:10,Mentally-ill person (non-violent),1800 BLOCK MERCY DR
130,1/28/2022 19:08,Accident (injuries),NOT AVAILABLE
131,1/28/2022 18:52,Theft by shoplifting,3900 BLOCK S SEMORAN BLVD
132,1/28/2022 18:48,Drunk driver,N BUMBY AVE / E ROBINSON ST
133,1/28/2022 18:42,General disturbance - armed,900 BLOCK RANDALL ST
