,Date,Description,Location
700,2/9/2022 19:47,Stolen vehicle,900 BLOCK PINEGROVE AVE
701,2/9/2022 19:44,Theft by shoplifting,4200 BLOCK MILLENIA BLVD
702,2/9/2022 19:41,Hit and run (injuries),S KIRKMAN RD / L B MCLEOD RD
703,2/9/2022 19:36,Stolen vehicle,2700 BLOCK E ROBINSON ST
704,2/9/2022 19:32,General investigation,9400 BLOCK JEFF FUQUA BLVD
705,2/9/2022 19:24,Suspicious incident,2200 BLOCK 29TH ST
706,2/9/2022 19:04,Check the well being of,6100 BLOCK LIGHTNER DR
707,2/9/2022 18:46,Battery,3200 BLOCK BRUTON BLVD
708,2/9/2022 18:30,Mentally-ill person (non-violent),W MICHIGAN ST / S DIVISION AVE
709,2/9/2022 18:29,Battery - cutting,500 BLOCK N ORANGE BLOSSOM TRL
710,2/9/2022 17:01,Suspicious person,W CENTRAL BLVD / N DIVISION AVE
711,2/9/2022 16:15,Dead person,1600 BLOCK S CRYSTAL LAKE DR
712,2/9/2022 13:08,Battery - shooting,400 BLOCK N JOHN YOUNG PKWY
713,2/10/2022 20:59,House/business check,INTERNATIONAL DR / FUN SPOT WAY
714,2/10/2022 20:56,Battery,11900 BLOCK NARCOOSSEE RD
715,2/10/2022 20:54,House/business check,1400 BLOCK MERCY DR
716,2/10/2022 20:47,Suspicious incident,7300 BLOCK AUGUSTA NATIONAL DR
717,2/10/2022 20:43,Domestic disturbance,Restricted Address
718,2/10/2022 20:41,Direct traffic,600 BLOCK S LAKELAND AVE
719,2/10/2022 20:27,House/business check,1700 BLOCK MERCY DR
720,2/10/2022 20:15,Accident (minor),1800 BLOCK E COLONIAL DR
721,2/10/2022 20:00,Theft,1800 BLOCK KREIDT DR
722,2/10/2022 19:54,General disturbance,900 BLOCK COLYER ST
723,2/10/2022 19:44,House/business check,W PRINCETON ST / MERCY DR
724,2/10/2022 19:28,Accident (minor),300 BLOCK N MAGNOLIA AVE
725,2/10/2022 19:22,Child abuse,Restricted Address
726,2/10/2022 19:22,Fugitive from justice,W ROBINSON ST / N ORANGE BLOSSOM TRL
727,2/10/2022 19:13,General disturbance,6000 BLOCK WESTGATE DR
728,2/10/2022 19:06,Missing person - juvenile,14700 BLOCK GOLDEN SUNBURST AVE
729,2/10/2022 19:02,Suspicious incident,4600 BLOCK E COLONIAL DR
730,2/10/2022 19:00,Weapons/armed,9300 BLOCK JEFF FUQUA BLVD
731,2/10/2022 18:47,Hit and run (minor),100 BLOCK E ROBINSON ST
732,2/10/2022 18:35,Battery,200 BLOCK ANNIE ST
733,2/10/2022 18:15,Theft,4500 BLOCK L B MCLEOD RD
734,2/10/2022 18:14,Missing person - juvenile,500 BLOCK HIBISCUS WAY
735,2/10/2022 17:23,Hit and run (minor),6500 BLOCK NEMOURS PKWY
736,2/10/2022 17:15,Suspicious person,W CENTRAL BLVD / GLENN LN
737,2/10/2022 15:28,Battery,N JOHN YOUNG PKWY / W HARWOOD ST
738,2/12/2022 17:00,Illegally parked cars,10500 BLOCK GREEN IVY LN
739,2/12/2022 16:59,Fraud-counterfeit,9400 BLOCK JEFF FUQUA BLVD
740,2/12/2022 16:59,House/business check,12200 BLOCK NARCOOSSEE RD
741,2/12/2022 16:57,Commercial alarm,5800 BLOCK S SEMORAN BLVD
742,2/12/2022 16:57,Suspicious person,4600 BLOCK W COLONIAL DR
743,2/12/2022 16:56,Designated Patrol Area - available,500 BLOCK E HARDING ST
744,2/12/2022 16:55,Designated Patrol Area - available,100 BLOCK W GRANT ST
745,2/12/2022 16:49,Suspicious person,900 BLOCK E PINE ST
746,2/12/2022 16:49,Trespasser,700 BLOCK EASY AVE
747,2/12/2022 16:46,Battery - fight in progress,700 BLOCK BENNETT RD
748,2/12/2022 16:40,Designated Patrol Area - available,4900 BLOCK INTERNATIONAL DR
749,2/12/2022 16:25,Theft,3100 BLOCK W PRINCETON ST
750,2/12/2022 16:25,Mentally-ill person (non-violent),SR 408 W / N JOHN YOUNG PKWY
751,2/12/2022 16:25,Lost/found property,9400 BLOCK JEFF FUQUA BLVD
752,2/12/2022 16:24,Abandoned vehicle,CURRY FORD RD / CONWAY RD
753,2/12/2022 16:16,Threats/assault,1200 BLOCK S KIRKMAN RD
754,2/12/2022 16:15,Theft,900 BLOCK S KIRKMAN RD
755,2/12/2022 16:12,Lost/found property,1400 BLOCK E GORE ST
756,2/12/2022 16:10,General disturbance,4200 BLOCK S SEMORAN BLVD
757,2/12/2022 16:10,General investigation,9400 BLOCK JEFF FUQUA BLVD
758,2/12/2022 16:05,Suspicious incident,2400 BLOCK S HIAWASSEE RD
759,2/12/2022 16:02,Obstruction on highway,4200 BLOCK COLUMBIA ST
760,2/12/2022 15:44,Accident (injuries),JEFF FUQUA BLVD S / STATION LOOP
761,2/12/2022 15:40,General investigation,4500 BLOCK COVE DR
762,2/12/2022 15:39,Hit and run (minor),CONROY RD / MOONGLOW BLVD
763,2/12/2022 15:34,Disabled occupied vehicle,S SEMORAN BLVD / PERSHING AVE
764,2/12/2022 15:32,Hit and run (minor),2400 BLOCK EDGEWATER DR
765,2/12/2022 15:28,Mentally-ill person (non-violent),1100 BLOCK W COLONIAL DR
766,2/12/2022 15:21,Sick or injured person,Restricted Address
767,2/12/2022 15:19,Accident (minor),3700 BLOCK W COLONIAL DR
768,2/12/2022 15:17,Stolen/lost tag,N WESTMORELAND DR / W AMELIA ST
769,2/12/2022 15:14,House/business check,3600 BLOCK COLUMBIA ST
770,2/12/2022 15:13,Unknown trouble,800 BLOCK S IVEY LN
771,2/12/2022 14:54,Accident (minor),9300 BLOCK JEFF FUQUA BLVD
772,2/12/2022 14:48,Suspicious incident,5300 BLOCK FORZLEY ST
773,2/12/2022 14:48,Recovered stolen vehicle,N ORANGE BLOSSOM TRL / POLK ST
774,2/12/2022 14:29,Accident (injuries),E ROLLINS ST / N MILLS AVE
775,2/12/2022 13:45,Stolen vehicle,S KIRKMAN RD / VINELAND RD
776,2/12/2022 11:17,Non-emergency assistance,5700 BLOCK RIDGE CLUB LOOP
777,2/12/2022 11:15,Theft by shoplifting,7000 BLOCK NARCOOSSEE RD
778,2/12/2022 2:32,Suspicious incident,400 BLOCK SUNSET DR
779,2/12/2022 23:45,Battery,2400 BLOCK CONWAY RD
780,2/12/2022 23:45,Unknown trouble,1 BLOCK W WASHINGTON ST
781,2/12/2022 23:44,Man down,1 BLOCK E PINE ST
782,2/12/2022 23:39,General disturbance,4900 BLOCK INTERNATIONAL DR
783,2/12/2022 23:35,Trespasser,6000 BLOCK UNIVERSAL BLVD
784,2/12/2022 23:19,Weapons/armed,W CENTRAL BLVD / S GARLAND AVE
785,2/12/2022 23:18,Illegally parked cars,DELANEY AVE / N LUCERNE CIR E
786,2/12/2022 23:17,Designated Patrol Area - available,1100 BLOCK S ORANGE BLOSSOM TRL
787,2/12/2022 23:15,Suspicious vehicle,W CENTRAL BLVD / N GARLAND AVE
788,2/12/2022 23:12,Suspicious person,1 BLOCK N ORANGE AVE
789,2/12/2022 23:05,General disturbance,4900 BLOCK SANOMA VILLAGE
790,2/12/2022 23:03,Trespasser,600 BLOCK W COLONIAL DR
791,2/12/2022 22:59,Check the well being of,5000 BLOCK CITY ST
792,2/12/2022 22:49,House/business check,100 BLOCK W CENTRAL BLVD
793,2/12/2022 22:40,Domestic disturbance,Restricted Address
794,2/12/2022 21:58,Accident (minor),CONWAY RD / E MICHIGAN ST
795,2/12/2022 21:51,Suspicious incident,1000 BLOCK S KIRKMAN RD
796,2/12/2022 21:32,Battery - shooting,34TH ST / S RIO GRANDE AVE
797,2/12/2022 20:50,Drug violation,4200 BLOCK LAKE RICHMOND DR
798,2/12/2022 20:01,Unknown trouble,6400 BLOCK METROWEST BLVD
799,2/12/2022 19:25,General disturbance,4900 BLOCK RALEIGH ST
800,2/12/2022 19:17,Battery,7700 BLOCK LAKE UNDERHILL RD
801,2/12/2022 18:44,Vandalism/criminal mischief,400 BLOCK GILMAN CIR
802,2/13/2022 10:03,Suspicious person,E CENTRAL BLVD / N BUMBY AVE
803,2/13/2022 10:00,Unknown trouble,600 BLOCK W SOUTH ST
804,2/13/2022 9:59,911 hang up,6300 BLOCK INTERNATIONAL DR
805,2/13/2022 9:59,House/business check,S SEMORAN BLVD / E GRANT ST
806,2/13/2022 9:58,Commercial alarm,6300 BLOCK INTERNATIONAL DR
807,2/13/2022 9:58,General investigation,9400 BLOCK JEFF FUQUA BLVD
808,2/13/2022 9:57,House/business check,5900 BLOCK S GOLDENROD RD
809,2/13/2022 9:56,Vandalism/criminal mischief,500 BLOCK S MAGNOLIA AVE
810,2/13/2022 9:54,Suspicious person,9200 BLOCK JEFF FUQUA BLVD
811,2/13/2022 9:53,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
812,2/13/2022 9:51,Vehicle B&E,7100 BLOCK UNIVERSAL BLVD
813,2/13/2022 9:49,House/business check,BRUTON BLVD / COVINGTON ST
814,2/13/2022 9:40,Designated Patrol Area - available,9100 BLOCK JEFF FUQUA BLVD
815,2/13/2022 9:38,Commercial alarm,4300 BLOCK CLARCONA OCOEE RD
816,2/13/2022 9:38,House/business check,LEEVISTA BLVD / TIVOLI GARDENS BLVD
817,2/13/2022 9:38,Trespasser,900 BLOCK S KIRKMAN RD
818,2/13/2022 9:31,Battery,600 BLOCK E ROLLINS ST
819,2/13/2022 9:27,House/business check,W NEW HAMPSHIRE ST / DIVERSIFIED WAY
820,2/13/2022 9:22,Accident (minor),700 BLOCK E ANDERSON ST
821,2/13/2022 9:16,Battery,600 BLOCK E ROLLINS ST
822,2/13/2022 8:57,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
823,2/13/2022 8:49,Designated Patrol Area - available,9400 BLOCK JEFF FUQUA BLVD
824,2/13/2022 8:31,Theft by shoplifting,1300 BLOCK W GORE ST
825,2/13/2022 8:26,Designated Patrol Area - available,9300 BLOCK S JEFF FUQUA BLVD
826,2/13/2022 8:07,General disturbance,4700 BLOCK W COLONIAL DR
827,2/13/2022 7:52,House/business check,W PRINCETON ST / DIVERSIFIED WAY
828,2/13/2022 6:42,Domestic disturbance,Restricted Address
829,2/13/2022 6:08,Commercial B&E,2300 BLOCK EDGEWATER DR
830,2/13/2022 22:15,Threats/assault,5900 BLOCK RALEIGH ST
831,2/13/2022 22:15,Suspicious person,200 BLOCK N ORANGE BLOSSOM TRL
832,2/13/2022 22:09,Non-emergency assistance,4100 BLOCK S SEMORAN BLVD
833,2/13/2022 22:08,Suspicious vehicle,4500 BLOCK THOREAU PARK DR
834,2/13/2022 22:04,Accident with road blockage,S ORANGE BLOSSOM TRL / W CENTRAL BLVD
835,2/13/2022 22:00,Suspicious person,4300 BLOCK SILVER STAR RD
836,2/13/2022 21:49,House/business check,1500 BLOCK EDGEWATER DR
837,2/13/2022 21:41,General investigation,9400 BLOCK JEFF FUQUA BLVD
838,2/13/2022 21:32,General disturbance,2500 BLOCK LAKE DEBRA DR
839,2/13/2022 21:31,General investigation,9400 BLOCK JEFF FUQUA BLVD
840,2/13/2022 21:21,House/business check,1 BLOCK E COLONIAL DR
841,2/13/2022 21:18,House/business check,BENNETT RD / E COLONIAL DR
842,2/13/2022 21:03,Domestic disturbance,Restricted Address
843,2/13/2022 20:54,Theft by shoplifting,2700 BLOCK SILVER STAR RD
844,2/13/2022 20:45,Weapons/armed,W COLONIAL DR / FERGUSON DR
845,2/13/2022 20:32,Unknown trouble,700 BLOCK S SEMORAN BLVD
846,2/13/2022 20:28,Domestic disturbance,Restricted Address
847,2/13/2022 20:24,Threatening animal,2100 BLOCK CONWAY RD
848,2/13/2022 20:20,General investigation,9400 BLOCK JEFF FUQUA BLVD
849,2/13/2022 19:34,Accident (injuries),N JOHN YOUNG PKWY / LEE RD
850,2/13/2022 19:30,Theft,1 BLOCK W WASHINGTON ST
851,2/13/2022 19:04,Accident (injuries),STATION LOOP / JEFF FUQUA BLVD
852,2/13/2022 18:42,Suspicious vehicle,4700 BLOCK RALEIGH ST
853,2/13/2022 18:27,Fugitive from justice,1200 BLOCK W SOUTH ST
854,2/13/2022 17:51,Stolen/lost tag,N ORANGE BLOSSOM TRL / W WASHINGTON ST
855,2/13/2022 16:11,Accident (injuries),COCOS DR / LAKE UNDERHILL RD
856,2/13/2022 12:16,Stolen vehicle,INTERNATIONAL DR / AMERICAN WAY
857,2/14/2022 20:56,Attempted suicide,Restricted Address
858,2/14/2022 20:43,Sick or injured person,Restricted Address
859,2/14/2022 20:43,Designated Patrol Area - available,9200 BLOCK JEFF FUQUA BLVD
860,2/14/2022 20:38,Designated Patrol Area - available,NOT AVAILABLE
861,2/14/2022 20:36,Threats/assaults - armed,800 BLOCK HILLS ST
862,2/14/2022 20:29,General disturbance,3900 BLOCK ATRIUM DR
863,2/14/2022 20:29,Abandoned vehicle,VINELAND RD / PEREGRINE AVE
864,2/14/2022 20:26,Commercial B&E,5200 BLOCK S JOHN YOUNG PKWY
865,2/14/2022 20:22,House/business check,MERCY DR / W D JUDGE DR
866,2/14/2022 20:22,House/business check,MERCY DR / W PRINCETON ST
867,2/14/2022 20:15,Theft,4900 BLOCK INTERNATIONAL DR
868,2/14/2022 20:10,Accident with road blockage,LAKE UNDERHILL RD / GASTON FOSTER RD
869,2/14/2022 19:30,Fugitive from justice,N JOHN YOUNG PKWY / W PRINCETON ST
870,2/14/2022 19:10,Fugitive from justice,4000 BLOCK L B MCLEOD RD
871,2/14/2022 19:02,Missing person - juvenile,5200 BLOCK CINDERLANE PKWY
872,2/14/2022 18:42,Missing person - juvenile,5200 BLOCK N ORANGE BLOSSOM TRL
873,2/14/2022 18:20,Battery,5600 BLOCK CURRY FORD RD
874,2/14/2022 18:11,General disturbance,S SEMORAN BLVD / DOGWOOD DR
875,2/14/2022 18:03,Accident (injuries),OLD WINTER GARDEN RD / SILVERTON ST
876,2/14/2022 17:55,Suspicious person,N ORANGE BLOSSOM TRL / W COLONIAL DR
877,2/14/2022 17:53,Suspicious person,N ORANGE BLOSSOM TRL / W COLONIAL DR
878,2/14/2022 17:52,Suspicious person,N ORANGE BLOSSOM TRL / W COLONIAL DR
879,2/14/2022 17:17,Theft,4900 BLOCK INTERNATIONAL DR
880,2/14/2022 17:03,Weapons/armed,1400 BLOCK MERCY DR
881,2/14/2022 16:40,Battery,4700 BLOCK N PINE HILLS RD
882,2/15/2022 21:28,Suspicious person,500 BLOCK S SEMORAN BLVD
883,2/15/2022 21:20,Suspicious person,KUHL AVE / S LUCERNE CIR W
884,2/15/2022 21:19,Suspicious incident,2700 BLOCK L B MCLEOD RD
885,2/15/2022 21:14,Disabled occupied vehicle,TAMPA / CHURCH ST
886,2/15/2022 21:10,Designated Patrol Area - available,9400 BLOCK JEFF FUQUA BLVD
887,2/15/2022 21:09,House/business check,INTERNATIONAL DR / CARRIER DR
888,2/15/2022 21:03,House/business check,INTERNATIONAL DR / GRAND NATIONAL DR
889,2/15/2022 21:00,Domestic disturbance,Restricted Address
890,2/15/2022 20:57,Commercial alarm,1300 BLOCK W COLONIAL DR
891,2/15/2022 20:54,Disabled occupied vehicle,COLUMBIA ST / S JOHN YOUNG PKWY
892,2/15/2022 20:42,Check the well being of,6500 BLOCK SWISSCO DR
893,2/15/2022 20:40,Attempted suicide,Restricted Address
894,2/15/2022 20:36,Other sex crimes,Restricted Address
895,2/15/2022 20:33,Recovered missing person,1000 BLOCK W COLONIAL DR
896,2/15/2022 20:29,Trespasser,4300 BLOCK SILVER STAR RD
897,2/15/2022 20:26,Accident (minor),1200 BLOCK W SOUTH ST
898,2/15/2022 20:16,General disturbance,N ORANGE AVE / WALL ST
899,2/15/2022 20:14,Theft by shoplifting,3500 BLOCK EDGEWATER DR
900,2/15/2022 19:57,Mentally-ill person (violent),6200 BLOCK BENT PINE DR
901,2/15/2022 19:51,Vehicle B&E,200 BLOCK BEGGS AVE
902,2/15/2022 19:38,Check the well being of,8300 BLOCK WESTCOTT SHORE DR
903,2/15/2022 19:27,Unknown trouble,1600 BLOCK S CRYSTAL LAKE DR
904,2/15/2022 19:26,Fugitive from justice,400 BLOCK E CHURCH ST
905,2/15/2022 19:18,Attempted suicide,Restricted Address
906,2/15/2022 18:25,Suspicious incident,200 BLOCK S PARRAMORE AVE
907,2/15/2022 17:29,Suspicious person,W COLONIAL DR / N WESTMORELAND DR
908,2/15/2022 17:00,Theft by shoplifting,7000 BLOCK NARCOOSSEE RD
909,2/15/2022 16:43,Accident with road blockage,NEW YORK AVE / VIRGINIA DR
910,2/15/2022 13:45,Suspicious person,9200 BLOCK JEFF FUQUA BLVD
911,2/16/2022 20:48,Suspicious incident,S WESTMORELAND DR / COLYER ST
912,2/16/2022 20:47,House/business check,WELHAM ST / LAKE BALDWIN LN
913,2/16/2022 20:44,Missing person - adult,3200 BLOCK E COLONIAL DR
914,2/16/2022 20:40,Accident (injuries),9000 BLOCK JEFF FUQUA BLVD N
915,2/16/2022 20:38,House/business check,S OXALIS AVE / APPIAN WAY
916,2/16/2022 20:38,Trespasser,5300 BLOCK INTERNATIONAL DR
917,2/16/2022 20:35,Residential B&E,3500 BLOCK CONROY RD
918,2/16/2022 20:30,Suspicious incident,ARGOS AVE / OLIVA ST
919,2/16/2022 20:29,General disturbance,3800 BLOCK S KIRKMAN RD
920,2/16/2022 20:27,Theft,5900 BLOCK METROPOLIS WAY
921,2/16/2022 20:27,House/business check,1200 BLOCK ALTALOMA AVE
922,2/16/2022 20:24,Non-emergency assistance,2500 BLOCK CONWAY RD
923,2/16/2022 20:20,911 hang up,4700 BLOCK WALDEN CIR
924,2/16/2022 20:15,Suspicious person,2300 BLOCK 29TH ST
925,2/16/2022 20:07,House/business check,SEMORAN / GRANT ST
926,2/16/2022 20:06,House/business check,S ORANGE AVE / E MICHIGAN ST
927,2/16/2022 20:03,Noise ordinance violation,1400 BLOCK ALDEN RD
928,2/16/2022 19:59,House/business check,PINELOCH / ORANGE AVE
929,2/16/2022 19:58,Vandalism/criminal mischief,4600 BLOCK GARDENS PARK BLVD
930,2/16/2022 19:47,Domestic disturbance,Restricted Address
931,2/16/2022 19:36,Suspicious incident,2400 BLOCK CONWAY RD
932,2/16/2022 19:35,House/business check,400 BLOCK RIDGEWOOD ST
933,2/16/2022 19:33,Suspicious incident,4200 BLOCK CONROY RD
934,2/16/2022 19:06,Vehicle B&E,4900 BLOCK WESTWINDS DR
935,2/16/2022 18:29,Battery,4800 BLOCK MONTAUK ST
936,2/16/2022 18:25,Trespasser,6700 BLOCK ADVENTURE WAY
937,2/16/2022 16:51,Weapons/armed,S IVEY LN / W GORE ST
938,2/16/2022 16:45,Suspicious incident,W WASHINGTON ST / MCQUIGG AVE
939,2/17/2022 21:02,House/business check,BUMBY/50
940,2/17/2022 20:57,Commercial alarm,600 BLOCK LAKE DOT CIR
941,2/17/2022 20:57,Drug violation,11600 BLOCK BIOGRAPHY WAY
942,2/17/2022 20:51,Trespasser,1600 BLOCK E COLONIAL DR
943,2/17/2022 20:50,Battery,6000 BLOCK BENT PINE DR
944,2/17/2022 20:46,Accident (minor),COLUMBIA ST / MABLE BUTLER AVE
945,2/17/2022 20:44,Suspicious incident,300 BLOCK W AMELIA ST
946,2/17/2022 20:39,Battery,2300 BLOCK W CHURCH ST
947,2/17/2022 20:37,Check the well being of,5900 BLOCK WESTGATE DR
948,2/17/2022 20:36,Accident (injuries),E LIVINGSTON ST / N ROSALIND AVE
949,2/17/2022 20:35,Check the well being of,6900 BLOCK KINGSPOINTE PKWY
950,2/17/2022 20:33,Accident with road blockage,S SEMORAN BLVD / NORTH FRONTAGE RD
951,2/17/2022 20:32,Designated Patrol Area - available,9400 BLOCK JEFF FUQUA BLVD N
952,2/17/2022 20:30,House/business check,2500 BLOCK CONWAY RD
953,2/17/2022 20:23,General investigation,9300 BLOCK JEFF FUQUA BLVD
954,2/17/2022 20:19,Person robbery,4500 BLOCK LANDING DR
955,2/17/2022 20:09,Designated Patrol Area - available,9200 BLOCK JEFF FUQUA BLVD
956,2/17/2022 20:01,Stolen vehicle,200 BLOCK N ORANGE BLOSSOM TRL
957,2/17/2022 19:59,Designated Patrol Area - available,GOAA LS2B
958,2/17/2022 19:57,Illegally parked cars,ENTRANCE RD / CARGO RD
959,2/17/2022 19:56,General disturbance,W PRINCETON ST / N JOHN YOUNG PKWY
960,2/17/2022 19:55,Attempted suicide,Restricted Address
961,2/17/2022 19:29,Battery,3300 BLOCK W COLONIAL DR
962,2/17/2022 19:17,Domestic disturbance,Restricted Address
963,2/17/2022 19:10,Accident (minor),S GOLDWYN AVE / COLUMBIA ST
964,2/17/2022 19:02,Mentally-ill person (non-violent),5100 BLOCK NEPONSET AVE
965,2/17/2022 18:34,Theft by shoplifting,4900 BLOCK INTERNATIONAL DR
966,2/17/2022 18:07,Person robbery,S MAGNOLIA AVE / E CENTRAL BLVD
967,2/17/2022 18:02,Threats/assaults - armed,6100 BLOCK RALEIGH ST
968,2/17/2022 17:46,Child abuse,Restricted Address
969,2/17/2022 17:45,Theft,5900 BLOCK CHENANGO LN
970,2/17/2022 16:52,Theft by shoplifting,2700 BLOCK S ORANGE AVE
971,2/17/2022 13:18,Battery - shooting,600 BLOCK W JACKSON ST
972,2/19/2022 7:10,Battery,1900 BLOCK DON WICKHAM DR
973,2/19/2022 7:02,Check the well being of,9400 BLOCK JEFF FUQUA BLVD
974,2/19/2022 6:59,Designated Patrol Area,NEW BROAD ST / DIXIE AVE
975,2/19/2022 6:58,Designated Patrol Area,600 BLOCK N BUMBY AVE
976,2/19/2022 6:57,Unknown trouble,2000 BLOCK MERCY DR
977,2/19/2022 6:55,House/business check,1300 BLOCK EDGEWATER DR
978,2/19/2022 6:36,Trespasser,400 BLOCK W CENTRAL BLVD
979,2/19/2022 6:20,Commercial alarm,4800 BLOCK S KIRKMAN RD
980,2/19/2022 5:26,Suspicious incident,2800 BLOCK CORRINE DR
981,2/19/2022 5:02,Residential B&E,3300 BLOCK ESCONDIDO DR
982,2/19/2022 4:42,Battery,800 BLOCK S IVEY LN
983,2/19/2022 19:36,Battery,300 BLOCK REEVES CT
984,2/19/2022 19:36,Suspicious person,4700 BLOCK WALDEN CIR
985,2/19/2022 19:32,Trespasser,6000 BLOCK UNIVERSAL BLVD
986,2/19/2022 19:25,Accident (injuries),2100 BLOCK W WASHINGTON ST
987,2/19/2022 19:25,Drunk pedestrian,9600 BLOCK JEFF FUQUA BLVD
988,2/19/2022 19:16,Designated Patrol Area - available,10500 BLOCK JEFF FUQUA BLVD
989,2/19/2022 19:01,Accident with road blockage,E COLONIAL DR / FASHION SQUARE ENTRANCE
990,2/19/2022 18:58,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
991,2/19/2022 18:55,Suspicious incident,4200 BLOCK CROSSROADS CT
992,2/19/2022 18:53,Illegally parked cars,100 BLOCK N ROSALIND AVE
993,2/19/2022 18:32,Designated Patrol Area - available,9400 BLOCK JEFF FUQUA BLVD
994,2/19/2022 18:21,Suspicious incident,1200 BLOCK MABLE BUTLER AVE
995,2/19/2022 18:11,Theft,6000 BLOCK UNIVERSAL BLVD
996,2/19/2022 17:32,General disturbance,4700 BLOCK S GOLDENROD RD
997,2/19/2022 17:10,Missing person - juvenile,6000 BLOCK WESTGATE DR
998,2/19/2022 22:34,General investigation,9400 BLOCK JEFF FUQUA BLVD
999,2/19/2022 22:29,General disturbance,1 BLOCK W WASHINGTON ST
1000,2/19/2022 22:20,Noise ordinance violation,MINNESOTA AVE / CLAY ST
1001,2/19/2022 22:19,Suspicious person,700 BLOCK MAGUIRE BLVD
1002,2/19/2022 22:16,Accident with road blockage,1 BLOCK
1003,2/19/2022 22:13,Theft by shoplifting,2700 BLOCK S ORANGE AVE
1004,2/19/2022 22:10,Trespasser,3600 BLOCK CURRY FORD RD
1005,2/19/2022 22:08,Suspicious person,5100 BLOCK CITY ST
1006,2/19/2022 22:00,General disturbance,1400 BLOCK MERCY DR
1007,2/19/2022 21:46,Theft,S JOHN YOUNG PKWY / W CHURCH ST
1008,2/19/2022 21:41,Theft,5900 BLOCK UNIVERSAL BLVD
1009,2/19/2022 21:19,Suspicious incident,6200 BLOCK BENT PINE DR
1010,2/19/2022 21:09,Missing person - adult,3200 BLOCK BARNSTABLE PL
1011,2/19/2022 21:07,General investigation,9400 BLOCK JEFF FUQUA BLVD
1012,2/19/2022 21:00,Accident (injuries),N JOHN YOUNG PKWY / W COLONIAL DR
1013,2/19/2022 18:41,Weapons/armed,MERCY DR / ARCH ST
1014,2/20/2022 11:25,Check the well being of,2500 BLOCK S SEMORAN BLVD
1015,2/20/2022 11:24,Vehicle B&E,500 BLOCK E CHURCH ST
1016,2/20/2022 11:17,Suspicious person,9300 BLOCK JEFF FUQUA BLVD
1017,2/20/2022 11:17,Suspicious incident,800 BLOCK HILLS ST
1018,2/20/2022 11:16,Stolen vehicle,300 BLOCK E SOUTH ST
1019,2/20/2022 11:12,Accident (minor),NOT AVAILABLE
1020,2/20/2022 11:03,House/business check,3500 BLOCK W COLONIAL DR
1021,2/20/2022 10:50,Theft by shoplifting,4600 BLOCK MILLENIA PLAZA WAY
1022,2/20/2022 10:49,House/business check,INTERNATIONAL DR / GRAND NATIONAL DR
1023,2/20/2022 10:30,Vehicle B&E,5300 BLOCK INTERNATIONAL DR
1024,2/20/2022 10:28,Mentally-ill person (violent),5400 BLOCK CINDERLANE PKWY
1025,2/20/2022 10:22,Sick or injured person,Restricted Address
1026,2/20/2022 10:11,Fugitive from justice,1400 BLOCK SLIGH BLVD
1027,2/20/2022 9:39,Commercial B&E,10400 BLOCK MOSS PARK RD
1028,2/20/2022 8:59,Unknown trouble,5000 BLOCK NORTH LN
1029,2/20/2022 8:57,Mentally-ill person (non-violent),2100 BLOCK MESSINA AVE
1030,2/20/2022 6:52,General disturbance - armed,2100 BLOCK RAPER DAIRY RD
1031,2/20/2022 5:34,Commercial alarm,7000 BLOCK NARCOOSSEE RD
1032,2/20/2022 19:44,Hit and run (injuries),S SEMORAN BLVD / DAHLIA DR
1033,2/20/2022 19:44,Check the well being of,5400 BLOCK VINELAND RD
1034,2/20/2022 19:44,Sick or injured person,Restricted Address
1035,2/20/2022 19:43,House/business check,CORNELL AVE / E STEELE ST
1036,2/20/2022 19:39,Suspicious incident,400 BLOCK E PINE ST
1037,2/20/2022 19:38,Suspicious incident,2700 BLOCK S ORANGE AVE
1038,2/20/2022 19:31,Domestic disturbance,Restricted Address
1039,2/20/2022 19:24,Accident (minor),5400 BLOCK INTERNATIONAL DR
1040,2/20/2022 19:23,Disabled occupied vehicle,BRUTON BLVD / L B MCLEOD RD
1041,2/20/2022 19:22,Battery,9100 BLOCK JEFF FUQUA BLVD
1042,2/20/2022 19:21,Stolen vehicle,2100 BLOCK S MILLS AVE
1043,2/20/2022 19:15,Mentally-ill person (non-violent),4000 BLOCK MARKHAM PL
1044,2/20/2022 19:07,Drunk driver,1 BLOCK W WASHINGTON ST
1045,2/20/2022 19:03,House/business check,N PINE HILLS RD / NORTH LN
1046,2/20/2022 18:59,Designated Patrol Area,E MICHIGAN ST / DELANEY AVE
1047,2/20/2022 18:55,Designated Patrol Area - available,MCFALL AVE / W GORE ST
1048,2/20/2022 18:54,Designated Patrol Area - available,5500 BLOCK INTERNATIONAL DR
1049,2/20/2022 18:39,General disturbance,3200 BLOCK SPLIT WILLOW DR
1050,2/20/2022 18:32,General disturbance,100 BLOCK N ORANGE AVE
1051,2/20/2022 18:28,General disturbance,1 BLOCK N ORANGE AVE
1052,2/20/2022 18:24,General disturbance,WALL ST / N ORANGE AVE
1053,2/20/2022 18:11,Theft by shoplifting,100 BLOCK W GRANT ST
1054,2/20/2022 17:35,Suspicious person,W COLONIAL DR / N ORANGE BLOSSOM TRL
